date,driver_number,meeting_key,session_key,x,y,z
2023-04-01 05:00:00.180000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:00.260000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:00.480000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:00.861000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:01.201000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:01.341000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:01.601000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:01.901000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:02.201000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:02.361000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:02.641000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:02.921000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:03.281000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:03.521000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:03.701000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:04.001000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:04.281000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:04.621000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:04.821000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:05.180000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:05.460000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:05.620000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:05.780000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:06.060000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:06.340000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:06.420000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:06.640000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:06.860000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:07.040000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:07.361000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:07.461000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:07.641000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:07.881000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:08.101000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:08.401000+00:00,21,1143,7783,-912,-1406,0
2023-04-01 05:00:08.561000+00:00,21,1143,7783,-913,-1405,0
2023-04-01 05:00:08.821000+00:00,21,1143,7783,-915,-1402,0
2023-04-01 05:00:09.241000+00:00,21,1143,7783,-920,-1398,0
2023-04-01 05:00:09.441000+00:00,21,1143,7783,-923,-1395,0
2023-04-01 05:00:09.581000+00:00,21,1143,7783,-926,-1392,0
2023-04-01 05:00:09.781000+00:00,21,1143,7783,-941,-1377,0
2023-04-01 05:00:10.021000+00:00,21,1143,7783,-948,-1370,0
2023-04-01 05:00:10.281000+00:00,21,1143,7783,-958,-1361,0
2023-04-01 05:00:10.541000+00:00,21,1143,7783,-977,-1343,0
2023-04-01 05:00:10.901000+00:00,21,1143,7783,-990,-1330,0
2023-04-01 05:00:11.101000+00:00,21,1143,7783,-1002,-1318,0
2023-04-01 05:00:11.321000+00:00,21,1143,7783,-1017,-1304,0
2023-04-01 05:00:11.421000+00:00,21,1143,7783,-1024,-1297,0
2023-04-01 05:00:11.700000+00:00,21,1143,7783,-1045,-1277,0
2023-04-01 05:00:12.340000+00:00,21,1143,7783,-1089,-1235,0
2023-04-01 05:00:12.560000+00:00,21,1143,7783,-1103,-1221,0
2023-04-01 05:00:12.740000+00:00,21,1143,7783,-1115,-1209,0
2023-04-01 05:00:13.060000+00:00,21,1143,7783,-1136,-1189,0
2023-04-01 05:00:13.280000+00:00,21,1143,7783,-1151,-1175,0
2023-04-01 05:00:13.460000+00:00,21,1143,7783,-1163,-1163,0
2023-04-01 05:00:13.640000+00:00,21,1143,7783,-1185,-1142,0
2023-04-01 05:00:14.061000+00:00,21,1143,7783,-1206,-1121,0
2023-04-01 05:00:14.221000+00:00,21,1143,7783,-1218,-1110,0
2023-04-01 05:00:14.421000+00:00,21,1143,7783,-1234,-1095,0
2023-04-01 05:00:14.701000+00:00,21,1143,7783,-1255,-1074,0
2023-04-01 05:00:14.961000+00:00,21,1143,7783,-1274,-1056,0
2023-04-01 05:00:15.141000+00:00,21,1143,7783,-1294,-1037,0
2023-04-01 05:00:15.501000+00:00,21,1143,7783,-1311,-1020,0
2023-04-01 05:00:15.781000+00:00,21,1143,7783,-1330,-1002,0
2023-04-01 05:00:16.001000+00:00,21,1143,7783,-1353,-980,0
2023-04-01 05:00:16.441000+00:00,21,1143,7783,-1374,-960,0
2023-04-01 05:00:16.641000+00:00,21,1143,7783,-1387,-947,0
2023-04-01 05:00:16.801000+00:00,21,1143,7783,-1398,-937,0
2023-04-01 05:00:16.961000+00:00,21,1143,7783,-1408,-927,0
2023-04-01 05:00:17.261000+00:00,21,1143,7783,-1427,-908,0
2023-04-01 05:00:17.361000+00:00,21,1143,7783,-1434,-902,0
2023-04-01 05:00:17.681000+00:00,21,1143,7783,-1462,-874,0
2023-04-01 05:00:17.981000+00:00,21,1143,7783,-1474,-863,0
2023-04-01 05:00:18.200000+00:00,21,1143,7783,-1487,-850,0
2023-04-01 05:00:18.480000+00:00,21,1143,7783,-1509,-830,0
2023-04-01 05:00:18.860000+00:00,21,1143,7783,-1511,-827,0
2023-04-01 05:00:19.220000+00:00,21,1143,7783,-1534,-806,0
