X,Y,Z
-989,1580,0
-984,1627,0
-981,1657,0
-977,1696,0
-974,1724,0
-971,1749,0
-968,1782,0
-965,1809,0
-962,1839,0
-957,1891,0
-956,1904,0
-955,1914,0
-953,1934,0
-951,1961,0
-949,1987,0
-945,2032,0
-942,2079,0
-940,2105,0
-939,2120,0
-936,2156,0
-935,2179,0
-933,2201,0
-932,2224,0
-931,2240,0
-928,2293,0
-927,2316,0
-926,2353,0
-925,2375,0
-922,2453,0
-921,2483,0
-921,2504,0
-921,2505,0
-921,2521,0
-921,2551,0
-921,2573,0
-921,2587,0
-921,2626,0
-921,2645,0
-921,2665,0
-921,2678,0
-921,2690,0
-921,2705,0
-921,2713,0
-921,2722,0
-921,2724,0
-921,2727,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2731,0
-921,2743,0
-921,2759,0
-921,2786,0
-921,2827,0
-921,2868,0
-921,2917,0
-921,2963,0
-921,3046,0
-921,3076,0
-921,3143,0
-921,3217,0
-921,3317,0
-922,3567,0
-922,3633,0
-921,3739,0
-920,3785,0
-917,3919,0
-910,4094,0
-903,4223,0
-899,4301,0
-881,4555,0
-874,4650,0
-858,4859,0
-851,4960,0
-840,5102,0
-819,5353,0
-803,5529,0
-783,5736,0
-769,5876,0
-781,6178,0
-772,6335,0
-754,6525,0
-738,6703,0
-724,6875,0
-700,7151,0
-679,7413,0
-668,7547,0
-656,7685,0
-645,7801,0
-636,7883,0
-630,7934,0
-614,8020,0
-599,8076,0
-574,8139,0
-550,8184,0
-500,8246,0
-444,8285,0
-397,8302,0
-363,8309,0
