date,driver_number,meeting_key,session_key,x,y,z
2023-07-23 13:00:00.077000+00:00,1,1215,9133,-199,-1239,2389
2023-07-23 13:00:00.497000+00:00,1,1215,9133,-199,-1239,2389
2023-07-23 13:00:00.917000+00:00,1,1215,9133,-203,-1236,2389
2023-07-23 13:00:01.177000+00:00,1,1215,9133,-212,-1228,2389
2023-07-23 13:00:01.497000+00:00,1,1215,9133,-231,-1213,2389
2023-07-23 13:00:01.917000+00:00,1,1215,9133,-249,-1198,2389
2023-07-23 13:00:02.117000+00:00,1,1215,9133,-266,-1185,2389
2023-07-23 13:00:02.397000+00:00,1,1215,9133,-295,-1161,2389
2023-07-23 13:00:02.597000+00:00,1,1215,9133,-331,-1131,2390
2023-07-23 13:00:03.037000+00:00,1,1215,9133,-382,-1087,2390
2023-07-23 13:00:03.217000+00:00,1,1215,9133,-430,-1046,2390
2023-07-23 13:00:03.657000+00:00,1,1215,9133,-519,-968,2390
2023-07-23 13:00:04.058000+00:00,1,1215,9133,-594,-901,2390
2023-07-23 13:00:04.258000+00:00,1,1215,9133,-673,-828,2389
2023-07-23 13:00:04.717000+00:00,1,1215,9133,-807,-705,2389
2023-07-23 13:00:04.997000+00:00,1,1215,9133,-858,-658,2389
2023-07-23 13:00:05.257000+00:00,1,1215,9133,-944,-580,2389
2023-07-23 13:00:05.557000+00:00,1,1215,9133,-1086,-453,2389
2023-07-23 13:00:05.777000+00:00,1,1215,9133,-1118,-424,2389
2023-07-23 13:00:06.037000+00:00,1,1215,9133,-1201,-353,2388
2023-07-23 13:00:06.357000+00:00,1,1215,9133,-1297,-270,2388
2023-07-23 13:00:06.577000+00:00,1,1215,9133,-1359,-217,2388
2023-07-23 13:00:06.737000+00:00,1,1215,9133,-1405,-179,2389
2023-07-23 13:00:06.977000+00:00,1,1215,9133,-1473,-124,2388
2023-07-23 13:00:07.177000+00:00,1,1215,9133,-1527,-79,2389
2023-07-23 13:00:07.337000+00:00,1,1215,9133,-1601,-19,2388
2023-07-23 13:00:07.757000+00:00,1,1215,9133,-1707,67,2388
2023-07-23 13:00:08.117000+00:00,1,1215,9133,-1765,115,2388
2023-07-23 13:00:08.277000+00:00,1,1215,9133,-1803,147,2388
2023-07-23 13:00:08.557000+00:00,1,1215,9133,-1868,200,2388
2023-07-23 13:00:08.737000+00:00,1,1215,9133,-1909,233,2388
2023-07-23 13:00:09.797000+00:00,1,1215,9133,-3607,1629,2385
2023-07-23 13:00:10.257000+00:00,1,1215,9133,-3719,1720,2382
2023-07-23 13:00:10.678000+00:00,1,1215,9133,-3870,1845,2379
2023-07-23 13:00:10.978000+00:00,1,1215,9133,-3945,1906,2376
2023-07-23 13:00:11.297000+00:00,1,1215,9133,-4053,1992,2373
2023-07-23 13:00:11.457000+00:00,1,1215,9133,-4113,2039,2371
2023-07-23 13:00:11.677000+00:00,1,1215,9133,-4199,2106,2369
2023-07-23 13:00:11.837000+00:00,1,1215,9133,-4263,2156,2367
2023-07-23 13:00:12.037000+00:00,1,1215,9133,-4344,2220,2365
2023-07-23 13:00:12.217000+00:00,1,1215,9133,-4419,2279,2363
2023-07-23 13:00:12.477000+00:00,1,1215,9133,-4530,2367,2360
2023-07-23 13:00:12.777000+00:00,1,1215,9133,-4661,2470,2356
2023-07-23 13:00:12.937000+00:00,1,1215,9133,-4732,2526,2354
2023-07-23 13:00:13.217000+00:00,1,1215,9133,-4869,2633,2351
2023-07-23 13:00:13.457000+00:00,1,1215,9133,-4972,2712,2348
2023-07-23 13:00:13.657000+00:00,1,1215,9133,-5067,2785,2346
2023-07-23 13:00:13.997000+00:00,1,1215,9133,-5225,2908,2341
2023-07-23 13:00:14.217000+00:00,1,1215,9133,-5324,2986,2338
2023-07-23 13:00:14.417000+00:00,1,1215,9133,-5418,3060,2336
2023-07-23 13:00:14.637000+00:00,1,1215,9133,-5504,3129,2333
2023-07-23 13:00:14.837000+00:00,1,1215,9133,-5615,3221,2330
2023-07-23 13:00:15.297000+00:00,1,1215,9133,-5716,3309,2328
2023-07-23 13:00:15.477000+00:00,1,1215,9133,-5782,3369,2325
2023-07-23 13:00:15.817000+00:00,1,1215,9133,-5839,3425,2322
2023-07-23 13:00:16.117000+00:00,1,1215,9133,-5896,3485,2320
2023-07-23 13:00:16.297000+00:00,1,1215,9133,-5938,3534,2318
2023-07-23 13:00:16.717000+00:00,1,1215,9133,-5983,3594,2316
2023-07-23 13:00:16.917000+00:00,1,1215,9133,-6013,3643,2315
2023-07-23 13:00:17.318000+00:00,1,1215,9133,-6044,3702,2313
2023-07-23 13:00:17.598000+00:00,1,1215,9133,-6063,3751,2311
2023-07-23 13:00:17.777000+00:00,1,1215,9133,-6072,3784,2310
2023-07-23 13:00:18.017000+00:00,1,1215,9133,-6083,3847,2309
2023-07-23 13:00:18.317000+00:00,1,1215,9133,-6084,3875,2309
2023-07-23 13:00:18.617000+00:00,1,1215,9133,-6075,3945,2306
2023-07-23 13:00:18.977000+00:00,1,1215,9133,-6062,3981,2305
2023-07-23 13:00:19.157000+00:00,1,1215,9133,-6048,4007,2304
2023-07-23 13:00:19.437000+00:00,1,1215,9133,-6012,4053,2302
2023-07-23 13:00:19.697000+00:00,1,1215,9133,-5990,4072,2302
2023-07-23 13:00:19.997000+00:00,1,1215,9133,-5949,4101,2302
2023-07-23 13:00:20.117000+00:00,1,1215,9133,-5930,4111,2301
2023-07-23 13:00:20.457000+00:00,1,1215,9133,-5872,4134,2301
2023-07-23 13:00:20.637000+00:00,1,1215,9133,-5838,4144,2300
2023-07-23 13:00:20.817000+00:00,1,1215,9133,-5801,4151,2300
2023-07-23 13:00:20.997000+00:00,1,1215,9133,-5761,4157,2299
2023-07-23 13:00:21.117000+00:00,1,1215,9133,-5733,4160,2298
2023-07-23 13:00:21.417000+00:00,1,1215,9133,-5656,4163,2297
